DI,RTE_x,CO,PM,HOUR,PHV,LONGITUDE,LATITUDE
11,5,SD,0.878,11,1792,-117.04041666666666,32.54936111111111
11,5,SD,4.632,9,5980,-117.08725,32.58383333333334
11,5,SD,11.129,6,8497,-117.10988888888888,32.67477777777778
11,5,SD,12.647,6,8453,-117.12180555555555,32.69286111111111
11,5,SD,20.056,8,8067,-117.20402777777778,32.75911111111111
11,5,SD,20.056,8,7354,-117.20402777777778,32.75911111111111
11,5,SD,25.947,7,9331,-117.23472222222222,32.83755555555556
11,5,SD,30.682,8,6020,-117.22483333333334,32.9045
11,5,SD,30.682,8,10779,-117.22483333333334,32.9045
11,5,SD,41.509,9,7893,-117.28733333333334,33.04822222222222
11,5,SD,42.712,12,7237,-117.29241666666668,33.06511111111111
11,5,SD,51.201,10,7561,-117.35141666666668,33.176944444444445
11,5,SD,52.834,11,7142,-117.3675,33.19638888888888
12,5,ORA,30.263,7,10794,-117.83352777777776,33.74066666666667
12,5,ORA,30.263,7,12274,-117.83352777777776,33.74066666666667
7,5,LA,41.0,5,6920,-118.46052777777778,34.28563888888889
7,5,LA,56.602,8,5581,-118.61616666666666,34.456
11,5,SD,0.878,10,1916,-117.04041666666666,32.54936111111111
11,5,SD,4.632,8,5799,-117.08725,32.58383333333334
11,5,SD,11.129,1,35406,-117.10988888888888,32.67477777777778
11,5,SD,12.647,6,8376,-117.12180555555555,32.69286111111111
11,5,SD,20.056,8,7844,-117.20402777777778,32.75911111111111
11,5,SD,20.056,8,7350,-117.20402777777778,32.75911111111111
11,5,SD,30.682,8,6304,-117.22483333333334,32.9045
11,5,SD,30.682,8,11264,-117.22483333333334,32.9045
11,5,SD,41.509,10,7546,-117.28733333333334,33.04822222222222
11,5,SD,51.201,10,7458,-117.35141666666668,33.176944444444445
11,5,SD,54.39,11,6121,-117.38733333333334,33.21027777777778
12,5,ORA,30.263,7,12375,-117.83352777777776,33.74066666666667
11,5,SD,0.878,5,1507,-117.04041666666666,32.54936111111111
11,5,SD,4.632,7,5256,-117.08725,32.58383333333334
11,5,SD,11.129,1,58515,-117.10988888888888,32.67477777777778
11,5,SD,12.647,6,8013,-117.12180555555555,32.69286111111111
11,5,SD,20.056,8,7236,-117.20402777777778,32.75911111111111
11,5,SD,30.682,7,6261,-117.22483333333334,32.9045
11,5,SD,30.682,8,8400,-117.22483333333334,32.9045
11,5,SD,52.834,10,6971,-117.3675,33.19638888888888
12,5,ORA,30.263,3,17060,-117.83352777777776,33.74066666666667
11,5,SD,0.878,8,3335,-117.04041666666666,32.54936111111111
11,5,SD,4.632,7,6401,-117.08725,32.58383333333334
11,5,SD,11.129,9,11354,-117.10988888888888,32.67477777777778
11,5,SD,12.647,7,7925,-117.12180555555555,32.69286111111111
11,5,SD,20.056,8,6590,-117.20402777777778,32.75911111111111
11,5,SD,25.947,8,7877,-117.23472222222222,32.83755555555556
11,5,SD,30.682,12,3955,-117.22483333333334,32.9045
11,5,SD,30.682,12,6988,-117.22483333333334,32.9045
11,5,SD,41.509,10,7182,-117.28733333333334,33.04822222222222
11,5,SD,51.201,10,7152,-117.35141666666668,33.176944444444445
11,5,SD,52.834,12,11075,-117.3675,33.19638888888888
11,5,SD,54.39,10,6234,-117.38733333333334,33.21027777777778
12,5,ORA,30.263,8,11335,-117.83352777777776,33.74066666666667
11,5,SD,0.878,12,1611,-117.04041666666666,32.54936111111111
11,5,SD,4.632,7,6044,-117.08725,32.58383333333334
11,5,SD,11.129,7,12906,-117.10988888888888,32.67477777777778
11,5,SD,12.647,7,7873,-117.12180555555555,32.69286111111111
11,5,SD,25.947,8,8561,-117.23472222222222,32.83755555555556
11,5,SD,30.682,8,3736,-117.22483333333334,32.9045
11,5,SD,30.682,8,7401,-117.22483333333334,32.9045
11,5,SD,51.201,9,6916,-117.35141666666668,33.176944444444445
11,5,SD,52.834,11,12060,-117.3675,33.19638888888888
11,5,SD,54.39,11,8416,-117.38733333333334,33.21027777777778
12,5,ORA,21.304,8,4424,-117.73497222222224,33.64469444444445
12,5,ORA,30.263,12,21790,-117.83352777777776,33.74066666666667
12,5,ORA,30.263,8,9963,-117.83352777777776,33.74066666666667
7,5,LA,41.0,6,5982,-118.46052777777778,34.28563888888889
7,5,LA,55.48,12,5003,-118.60783333333332,34.44433333333333
11,5,SD,0.878,16,2808,-117.04041666666666,32.54936111111111
11,5,SD,4.632,15,7687,-117.08725,32.58383333333334
11,5,SD,11.129,14,9245,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7912,-117.12180555555555,32.69286111111111
11,5,SD,20.056,14,8144,-117.20402777777778,32.75911111111111
11,5,SD,20.056,16,8451,-117.20402777777778,32.75911111111111
11,5,SD,25.947,15,11182,-117.23472222222222,32.83755555555556
11,5,SD,30.682,16,5953,-117.22483333333334,32.9045
11,5,SD,30.682,14,9179,-117.22483333333334,32.9045
11,5,SD,41.509,15,7705,-117.28733333333334,33.04822222222222
11,5,SD,42.712,16,7455,-117.29241666666668,33.06511111111111
11,5,SD,51.201,15,7377,-117.35141666666668,33.176944444444445
11,5,SD,52.834,13,7041,-117.3675,33.19638888888888
12,5,ORA,30.263,14,9621,-117.83352777777776,33.74066666666667
12,5,ORA,30.263,16,11211,-117.83352777777776,33.74066666666667
7,5,LA,41.0,16,7654,-118.46052777777778,34.28563888888889
7,5,LA,56.602,16,5900,-118.61616666666666,34.456
11,5,SD,0.878,17,2990,-117.04041666666666,32.54936111111111
11,5,SD,4.632,16,7658,-117.08725,32.58383333333334
11,5,SD,11.129,21,43920,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7869,-117.12180555555555,32.69286111111111
11,5,SD,20.056,15,7792,-117.20402777777778,32.75911111111111
11,5,SD,20.056,15,8381,-117.20402777777778,32.75911111111111
11,5,SD,30.682,16,5880,-117.22483333333334,32.9045
11,5,SD,30.682,14,9096,-117.22483333333334,32.9045
11,5,SD,41.509,15,7493,-117.28733333333334,33.04822222222222
11,5,SD,51.201,13,7369,-117.35141666666668,33.176944444444445
11,5,SD,54.39,14,6130,-117.38733333333334,33.21027777777778
12,5,ORA,30.263,13,10511,-117.83352777777776,33.74066666666667
11,5,SD,0.878,16,1386,-117.04041666666666,32.54936111111111
11,5,SD,4.632,16,7221,-117.08725,32.58383333333334
11,5,SD,11.129,14,38130,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7713,-117.12180555555555,32.69286111111111
11,5,SD,20.056,18,8185,-117.20402777777778,32.75911111111111
11,5,SD,30.682,16,5745,-117.22483333333334,32.9045
11,5,SD,30.682,17,8611,-117.22483333333334,32.9045
11,5,SD,52.834,15,6921,-117.3675,33.19638888888888
12,5,ORA,30.263,20,13523,-117.83352777777776,33.74066666666667
11,5,SD,0.878,19,3020,-117.04041666666666,32.54936111111111
11,5,SD,4.632,17,7467,-117.08725,32.58383333333334
11,5,SD,11.129,17,13008,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7574,-117.12180555555555,32.69286111111111
11,5,SD,20.056,15,8220,-117.20402777777778,32.75911111111111
11,5,SD,25.947,15,10384,-117.23472222222222,32.83755555555556
11,5,SD,30.682,15,4725,-117.22483333333334,32.9045
11,5,SD,30.682,15,7406,-117.22483333333334,32.9045
11,5,SD,41.509,14,6916,-117.28733333333334,33.04822222222222
11,5,SD,51.201,16,6952,-117.35141666666668,33.176944444444445
11,5,SD,52.834,16,11083,-117.3675,33.19638888888888
11,5,SD,54.39,13,6993,-117.38733333333334,33.21027777777778
12,5,ORA,30.263,16,11301,-117.83352777777776,33.74066666666667
11,5,SD,0.878,15,2183,-117.04041666666666,32.54936111111111
11,5,SD,4.632,14,7441,-117.08725,32.58383333333334
11,5,SD,11.129,18,14226,-117.10988888888888,32.67477777777778
11,5,SD,12.647,14,7544,-117.12180555555555,32.69286111111111
11,5,SD,25.947,15,9689,-117.23472222222222,32.83755555555556
11,5,SD,30.682,15,4296,-117.22483333333334,32.9045
11,5,SD,30.682,15,7724,-117.22483333333334,32.9045
11,5,SD,51.201,13,6804,-117.35141666666668,33.176944444444445
11,5,SD,52.834,15,12386,-117.3675,33.19638888888888
11,5,SD,54.39,15,8794,-117.38733333333334,33.21027777777778
12,5,ORA,21.304,17,4160,-117.73497222222224,33.64469444444445
12,5,ORA,30.263,16,22140,-117.83352777777776,33.74066666666667
12,5,ORA,30.263,14,9546,-117.83352777777776,33.74066666666667
7,5,LA,41.0,16,5762,-118.46052777777778,34.28563888888889
7,5,LA,55.48,17,5288,-118.60783333333332,34.44433333333333
